N;Real;Diferentes;N2;N3;N4;Conjuntos;Diferentes
2;53;22;4;8;16;1431
2;51;22;4;8;16;1326
3;95;34;9;27;81;4560
3;89;30;9;27;81;4005
4;148;48;16;64;256;11026
4;136;38;16;64;256;9316
5;212;64;25;125;625;22578
5;192;46;25;125;625;18528
6;287;82;36;216;1296;41328
6;257;54;36;216;1296;33153
7;373;102;49;343;2401;69751
7;331;62;49;343;2401;54946
8;470;124;64;512;4096;110685
8;414;70;64;512;4096;85905
9;578;148;81;729;6561;167331
9;506;78;81;729;6561;128271
10;697;174;100;1000;10000;243253
10;607;86;100;1000;10000;184528
11;827;202;121;1331;14641;342378
11;717;94;121;1331;14641;257403
12;968;232;144;1728;20736;468996
12;836;102;144;1728;20736;349866
13;1120;264;169;2197;28561;627760
13;964;110;169;2197;28561;465130
